Gamma_Values,R_Squared_Values,Coef,intercepts
6.43,0.9742270418838166,[2.00929408e+16],7252861818419444.0
6.44,0.9741164171754507,[2.13503009e+16],7659693419103940.0
6.45,0.9740055800519053,[2.26862971e+16],8089187467078168.0
6.46,0.9738945307538223,[2.41058449e+16],8542595937443120.0
6.47,0.9737832695221461,[2.56141665e+16],9021239275676692.0
6.48,0.9736717965981226,[2.72168106e+16],9526510095666580.0
6.49,0.9735601122232975,[2.89196723e+16],1.0059877074311048e+16
6.5,0.973448216639515,[3.07290153e+16],1.0622889052919928e+16
6.51,0.9733361100889169,[3.26514941e+16],1.1217179356163844e+16
6.5200000000000005,0.9732237928139409,[3.46941795e+16],1.1844470339864216e+16
6.53,0.9731112650573196,[3.68645833e+16],1.2506578179483464e+16
6.54,0.9729985270620793,[3.9170687e+16],1.3205417911772944e+16
6.55,0.9728855790715384,[4.16209704e+16],1.3943008742658848e+16
6.5600000000000005,0.9727724213293063,[4.42244429e+16],1.4721479635102688e+16
6.57,0.9726590540792821,[4.69906768e+16],1.5543075191357912e+16
6.58,0.9725454775656532,[4.99298421e+16],1.64101618447642e+16
6.59,0.9724316920328946,[5.30527439e+16],1.7325234376970992e+16
6.6000000000000005,0.9723176977257666,[5.63708622e+16],1.8290922777273296e+16
6.61,0.9722034948893145,[5.98963939e+16],1.930999946156509e+16
6.62,0.9720890837688666,[6.36422976e+16],2.0385386869282264e+16
6.63,0.9719744646100335,[6.76223411e+16],2.152016545760859e+16
6.640000000000001,0.9718596376587062,[7.18511518e+16],2.2717582113166736e+16
6.65,0.9717446031610557,[7.63442706e+16],2.3981059002404896e+16
6.66,0.9716293613635306,[8.11182089e+16],2.5314202882927264e+16
6.67,0.9715139125128568,[8.6190509e+16],2.672081489909619e+16
6.68,0.9713982568560355,[9.15798083e+16],2.820490088637125e+16
6.69,0.9712823946403426,[9.73059082e+16],2.977068221003005e+16
6.7,0.9711663261133269,[1.03389846e+17],3.142260716515667e+16
6.71,0.9710500515228088,[1.09853973e+17],3.3165362966075696e+16
6.72,0.9709335711168794,[1.16722035e+17],3.500388835475925e+16
6.73,0.9708168851438991,[1.24019262e+17],3.694338685914926e+16
6.74,0.9706999938524958,[1.31772456e+17],3.898934073380736e+16
6.75,0.9705828974915647,[1.40010096e+17],4.114752561684627e+16
6.76,0.9704655963102659,[1.48762436e+17],4.342402593869968e+16
6.7700000000000005,0.9703480905580236,[1.58061619e+17],4.582525111996461e+16
6.78,0.970230380484525,[1.67941796e+17],4.835795259729587e+16
6.79,0.9701124663397189,[1.78439247e+17],5.102924171815997e+16
6.8,0.969994348373814,[1.8959252e+17],5.384660854714595e+16
6.8100000000000005,0.9698760268372785,[2.01442566e+17],5.681794162852205e+16
6.82,0.9697575019808375,[2.14032893e+17],5.995154875177942e+16
6.83,0.9696387740554733,[2.27409725e+17],6.325617876906166e+16
6.84,0.9695198433124229,[2.4162217e+17],6.67410445156079e+16
6.8500000000000005,0.9694007100031773,[2.56722403e+17],7.04158468866703e+16
6.86,0.9692813743794798,[2.72765853e+17],7.429080012678534e+16
6.87,0.9691618366933256,[2.89811408e+17],7.837665838980211e+16
6.88,0.9690420971969591,[3.07921632e+17],8.268474363067987e+16
6.890000000000001,0.968922156142874,[3.27162995e+17],8.722697489279808e+16
6.9,0.9688020137838113,[3.47606111e+17],9.201589905734138e+16
6.91,0.9686816703727581,[3.69326003e+17],9.706472312425568e+16
6.92,0.9685611261629464,[3.92402375e+17],1.0238734809732173e+17
